Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Characteristics [Organism Part],Term Source 2 REF,Term Source 2 Accession,Assay Name,Experimental Condition [stretch duration],Experimental Condition [Nocodazole or DMSO],Comment [Gene Identifier],Comment [Gene Symbol],Comment [Gene Annotation Comments],Folder Name,Image File,Comment [Image File Path],Comment [Image File Comments],Comment [Image File Type],Channels,Protocol REF,Processed Data File
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_174.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_174.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_174.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_175.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_175.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_175.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_176.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_176.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_176.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_177.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_177.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_177.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_178.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_178.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_178.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_179.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_179.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_179.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_180.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_180.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_180.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_181.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_181.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_181.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_182.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_182.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_182.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_183.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_183.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_183.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_184.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_184.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_184.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_185.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_185.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_185.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_186.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_186.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_186.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_187.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_187.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_187.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_188.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_188.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_188.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_189.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_189.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_189.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_190.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_190.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_190.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_191.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_191.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_191.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_192.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_192.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_192.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_193.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_193.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_193.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_194.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_194.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_194.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_195.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_195.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_195.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_196.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_196.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_196.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_197.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_197.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_197.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_198.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_198.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_198.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_199.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_199.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_199.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_200.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_200.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_200.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_201.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_201.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_201.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_202.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_202.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_202.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_203.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_203.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_203.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_204.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_204.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_204.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_205.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_205.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_205.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_206.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_206.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_206.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_207.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_207.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_207.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_208.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_208.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_208.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_209.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_209.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_209.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_210.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_210.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_210.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_211.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_211.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_211.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_212.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_212.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_212.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_213.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_213.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_213.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_214.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_214.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_214.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_215.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_215.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_215.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_216.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_216.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_216.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_217.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_217.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_217.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_218.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_218.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_218.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_219.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_219.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_219.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_220.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_220.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_220.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_221.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_221.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_221.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_222.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_222.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_222.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
Untreated 1h Actin Vimentin,ExperimentA_No08_2012_06_17_1h_actin_microtubules_223.zvi,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No08_2012_06_17_1h_actin_microtubules_223.zvi,1h,Untreated,,,,2012_06_17,ExperimentA_No08_2012_06_17_1h_actin_microtubules_223.zvi,ImagesOfExperimentA,(XYZC) = 1000 x 1000 x 1 x 4,raw,"Ch1: Actin, Ch2: Vimentin, Ch3: Microtubules, Ch4: Cell",,
